"Paragraph","CaptionContext","RelationshipId","Target"
"411","式中：为构件i为脆性状态的概率；为构件j为塑性状态的概率；为系统S中潜在脆性破坏构件i为脆性状态，构件j为塑性状态情况下的失效概率；为构件i为塑性状态的概率；为构件j为脆性状态的概率；为系统S中潜在脆性破坏构件j为脆性状态，构件i为塑性状态情况下的失效概率。为系统S中两个潜在脆性破坏构件均为脆性状态情况下的失效概率；为系统S中所有构件均为塑性状态情况下的失效概率。","rId73","media/image27.wmf"
"411","式中：为构件i为脆性状态的概率；为构件j为塑性状态的概率；为系统S中潜在脆性破坏构件i为脆性状态，构件j为塑性状态情况下的失效概率；为构件i为塑性状态的概率；为构件j为脆性状态的概率；为系统S中潜在脆性破坏构件j为脆性状态，构件i为塑性状态情况下的失效概率。为系统S中两个潜在脆性破坏构件均为脆性状态情况下的失效概率；为系统S中所有构件均为塑性状态情况下的失效概率。","rId75","media/image28.wmf"
"411","式中：为构件i为脆性状态的概率；为构件j为塑性状态的概率；为系统S中潜在脆性破坏构件i为脆性状态，构件j为塑性状态情况下的失效概率；为构件i为塑性状态的概率；为构件j为脆性状态的概率；为系统S中潜在脆性破坏构件j为脆性状态，构件i为塑性状态情况下的失效概率。为系统S中两个潜在脆性破坏构件均为脆性状态情况下的失效概率；为系统S中所有构件均为塑性状态情况下的失效概率。","rId77","media/image29.wmf"
"411","式中：为构件i为脆性状态的概率；为构件j为塑性状态的概率；为系统S中潜在脆性破坏构件i为脆性状态，构件j为塑性状态情况下的失效概率；为构件i为塑性状态的概率；为构件j为脆性状态的概率；为系统S中潜在脆性破坏构件j为脆性状态，构件i为塑性状态情况下的失效概率。为系统S中两个潜在脆性破坏构件均为脆性状态情况下的失效概率；为系统S中所有构件均为塑性状态情况下的失效概率。","rId55","media/image21.wmf"
"412","同理，为了计算潜在脆性破坏构件i的重要性程度，需要计算系统的失效概率。在本节中，因为系统S含有两个编号为i和j的潜在脆性破坏构件，所以系统中只含有一个潜在脆性破坏构件，即构件j。因此，其失效情况可分为如图2.5所示的两种不同情况：","rId33","media/image10.wmf"
"412","同理，为了计算潜在脆性破坏构件i的重要性程度，需要计算系统的失效概率。在本节中，因为系统S含有两个编号为i和j的潜在脆性破坏构件，所以系统中只含有一个潜在脆性破坏构件，即构件j。因此，其失效情况可分为如图2.5所示的两种不同情况：","rId33","media/image10.wmf"
"413","①构件j呈现脆性后系统失效;","rId82","media/image30.wmf"
"414","②构件j呈现塑性时系统失效。","rId84","media/image31.wmf"
"415","","rId86","media/image32.png"
"415","","rId87","media/image33.png"
"420","在图2.5中，根据潜在脆性破坏构件j的呈现状态不同，系统可分为和两种情况。其中系统中构件j为脆性状态，系统中构件j为塑性状态。因此，系统的失效概率可表示为","rId33","media/image10.wmf"
"420","在图2.5中，根据潜在脆性破坏构件j的呈现状态不同，系统可分为和两种情况。其中系统中构件j为脆性状态，系统中构件j为塑性状态。因此，系统的失效概率可表示为","rId82","media/image30.wmf"
"420","在图2.5中，根据潜在脆性破坏构件j的呈现状态不同，系统可分为和两种情况。其中系统中构件j为脆性状态，系统中构件j为塑性状态。因此，系统的失效概率可表示为","rId84","media/image31.wmf"
"420","在图2.5中，根据潜在脆性破坏构件j的呈现状态不同，系统可分为和两种情况。其中系统中构件j为脆性状态，系统中构件j为塑性状态。因此，系统的失效概率可表示为","rId82","media/image30.wmf"
"420","在图2.5中，根据潜在脆性破坏构件j的呈现状态不同，系统可分为和两种情况。其中系统中构件j为脆性状态，系统中构件j为塑性状态。因此，系统的失效概率可表示为","rId84","media/image31.wmf"
"420","在图2.5中，根据潜在脆性破坏构件j的呈现状态不同，系统可分为和两种情况。其中系统中构件j为脆性状态，系统中构件j为塑性状态。因此，系统的失效概率可表示为","rId33","media/image10.wmf"
"421","","rId35","media/image11.wmf"
"421","","rId95","media/image34.wmf"
"422","式中：为构件j为脆性状态的概率；为系统中构件j为脆性状态情况下的失效概率；为构件j为塑性状态的概率；为系统中构件j为塑性状态情况下的失效概率。","rId73","media/image27.wmf"
"422","式中：为构件j为脆性状态的概率；为系统中构件j为脆性状态情况下的失效概率；为构件j为塑性状态的概率；为系统中构件j为塑性状态情况下的失效概率。","rId98","media/image35.wmf"
"422","式中：为构件j为脆性状态的概率；为系统中构件j为脆性状态情况下的失效概率；为构件j为塑性状态的概率；为系统中构件j为塑性状态情况下的失效概率。","rId33","media/image10.wmf"
"422","式中：为构件j为脆性状态的概率；为系统中构件j为脆性状态情况下的失效概率；为构件j为塑性状态的概率；为系统中构件j为塑性状态情况下的失效概率。","rId68","media/image25.wmf"
"422","式中：为构件j为脆性状态的概率；为系统中构件j为脆性状态情况下的失效概率；为构件j为塑性状态的概率；为系统中构件j为塑性状态情况下的失效概率。","rId102","media/image36.wmf"
"422","式中：为构件j为脆性状态的概率；为系统中构件j为脆性状态情况下的失效概率；为构件j为塑性状态的概率；为系统中构件j为塑性状态情况下的失效概率。","rId33","media/image10.wmf"
